Player,Pos,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90
Brenden Aaronson,"MF,FW",36,28,2372,26.4,1,3,4,1,0,0,2,0,3.9,3.9,4.2,8.1,43.0,86.0,151.0,0.04,0.11,0.15,0.04,0.15,0.15,0.16,0.31,0.15,0.31
Paxten Aaronson,"MF,DF",7,0,173,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,8.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11
James Abankwah,DF,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Abbott,MF,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yunis Abdelhamid,DF,36,36,3240,36.0,1,2,3,1,0,0,5,0,2.3,2.3,1.0,3.3,35.0,206.0,9.0,0.03,0.06,0.08,0.03,0.08,0.06,0.03,0.09,0.06,0.09
Himad Abdelli,"MF,FW",29,23,2047,22.7,2,2,4,2,0,0,3,0,1.4,1.4,2.9,4.3,57.0,147.0,107.0,0.09,0.09,0.18,0.09,0.18,0.06,0.13,0.19,0.06,0.19
Salis Abdul Samed,MF,32,32,2804,31.2,1,1,2,1,0,0,5,1,0.9,0.9,1.5,2.5,32.0,157.0,44.0,0.03,0.03,0.06,0.03,0.06,0.03,0.05,0.08,0.03,0.08
Laurent Abergel,MF,28,27,2252,25.0,0,1,1,0,0,0,6,1,0.5,0.5,1.3,1.8,12.0,138.0,14.0,0.0,0.04,0.04,0.0,0.04,0.02,0.05,0.07,0.02,0.07
Oliver Abildgaard,MF,12,6,584,6.5,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.6,2.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09
Matthis Abline,FW,18,8,787,8.7,2,1,3,1,1,2,1,0,3.4,1.8,0.7,2.5,12.0,8.0,47.0,0.23,0.11,0.34,0.11,0.23,0.39,0.08,0.47,0.21,0.28
Matthis Abline,"FW,MF",11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4.0,2.0,11.0,0.84,0.0,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87
Abner,DF,13,7,607,6.7,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,8.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.25,0.02,0.27,0.25,0.27
Zakaria Aboukhlal,"FW,MF",36,28,2442,27.1,9,5,14,9,0,0,4,0,10.3,10.3,3.2,13.5,97.0,70.0,272.0,0.33,0.18,0.52,0.33,0.52,0.38,0.12,0.5,0.38,0.5
Tammy Abraham,FW,37,24,2172,24.1,8,3,11,8,0,0,2,0,10.8,10.8,3.6,14.5,35.0,54.0,140.0,0.33,0.12,0.46,0.33,0.46,0.45,0.15,0.6,0.45,0.6
Christian Acella,MF,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francesco Acerbi,DF,30,25,2398,26.6,0,2,2,0,0,0,4,0,1.0,1.0,1.1,2.1,39.0,100.0,32.0,0.0,0.08,0.08,0.0,0.08,0.04,0.04,0.08,0.04,0.08
Álvaro Aceves,GK,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Achi,FW,2,0,36,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.08,0.39,0.3,0.39
Marcos Acuña,DF,30,21,1912,21.2,3,2,5,3,0,0,10,3,1.2,1.2,4.3,5.5,49.0,102.0,94.0,0.14,0.09,0.24,0.14,0.24,0.05,0.2,0.26,0.05,0.26
Che Adams,FW,28,23,1992,22.1,5,3,8,5,0,0,1,0,6.6,6.6,2.8,9.4,17.0,34.0,115.0,0.23,0.14,0.36,0.23,0.36,0.3,0.13,0.42,0.3,0.42
Tyler Adams,MF,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.1,0.1,1.4,1.5,19.0,136.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
Sargis Adamyan,"FW,MF",24,4,644,7.2,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,12.0,24.0,58.0,0.14,0.28,0.42,0.14,0.42,0.47,0.11,0.58,0.47,0.58
Tosin Adarabioyo,DF,25,23,2085,23.2,1,0,1,1,0,0,4,0,0.7,0.7,0.4,1.1,16.0,95.0,3.0,0.04,0.0,0.04,0.04,0.04,0.03,0.02,0.05,0.03,0.05
Martin Adeline,"MF,FW",5,0,107,1.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
Karim Adeyemi,"FW,MF",24,20,1386,15.4,6,5,11,6,0,1,9,0,5.0,4.3,3.7,8.0,49.0,47.0,131.0,0.39,0.32,0.71,0.39,0.71,0.33,0.24,0.57,0.28,0.52
Amine Adli,"FW,MF",26,16,1435,15.9,5,3,8,5,0,0,2,2,5.0,5.0,1.7,6.7,46.0,49.0,137.0,0.31,0.19,0.5,0.31,0.5,0.31,0.11,0.42,0.31,0.42
Yacine Adli,"MF,FW",6,1,144,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.22,0.05,0.22
Michel Aebischer,"FW,MF",31,17,1452,16.1,1,0,1,1,0,0,3,0,1.5,1.5,0.6,2.1,13.0,40.0,81.0,0.06,0.0,0.06,0.06,0.06,0.09,0.04,0.13,0.09,0.13
Felix Afena-Gyan,"FW,MF",23,7,816,9.1,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,22.0,8.0,54.0,0.0,0.0,0.0,0.0,0.0,0.21,0.02,0.22,0.21,0.22
Emmanuel Agbadou,DF,29,27,2388,26.5,0,3,3,0,0,0,5,3,1.7,1.7,2.4,4.1,15.0,131.0,8.0,0.0,0.11,0.11,0.0,0.11,0.06,0.09,0.15,0.06,0.15
Julen Agirrezabala,GK,8,7,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucien Agoume,MF,15,14,1094,12.2,0,1,1,0,0,0,5,0,0.8,0.8,1.1,1.9,9.0,93.0,10.0,0.0,0.08,0.08,0.0,0.08,0.07,0.09,0.16,0.07,0.16
Felix Agu,"DF,FW",3,0,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.07,0.14,0.22,0.07,0.22
Álvaro Aguado,MF,33,17,1798,20.0,1,2,3,1,0,0,3,0,0.9,0.9,2.2,3.1,26.0,128.0,46.0,0.05,0.1,0.15,0.05,0.15,0.05,0.11,0.16,0.05,0.16
Kevin Agudelo,"MF,FW",34,23,2132,23.7,0,1,1,0,0,0,5,0,1.5,1.5,3.0,4.5,81.0,110.0,100.0,0.0,0.04,0.04,0.0,0.04,0.06,0.13,0.19,0.06,0.19
Nayef Aguerd,DF,18,17,1595,17.7,2,0,2,2,0,0,4,0,2.2,2.2,0.5,2.7,2.0,25.0,4.0,0.11,0.0,0.11,0.11,0.11,0.13,0.03,0.15,0.13,0.15
Ruben Aguilar,DF,19,13,1082,12.0,0,0,0,0,0,0,2,0,0.2,0.2,0.9,1.1,23.0,91.0,68.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09
Naouirou Ahamada,"MF,FW",8,0,94,1.0,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,1.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,0.15,0.07,0.22,0.15,0.22
Naouirou Ahamada,MF,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43.0,56.0,54.0,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13
Amar Ahmed,FW,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
